---
time_ms,angle,S1,S2,max,is_grasped
5,0,0,0,0,0
10,1,0,0,0,0
36,2,0,0,0,0
76,3,0,0,0,0
116,4,0,0,0,0
156,5,0,0,0,0
196,6,0,0,0,0
236,7,0,0,0,0
276,8,0,0,0,0
316,9,0,0,0,0
356,10,0,0,0,0
396,11,0,0,0,0
436,12,0,0,0,0
476,13,0,0,0,0
516,14,0,0,0,0
556,15,0,0,0,0
596,16,0,0,0,0
636,17,0,0,0,0
676,18,0,0,0,0
716,19,0,0,0,0
756,20,0,0,0,0
796,21,0,0,0,0
836,22,0,0,0,0
876,23,0,0,0,0
916,24,0,0,0,0
956,25,0,0,0,0
996,26,0,0,0,0
1036,27,0,0,0,0
1076,28,0,0,0,0
1116,29,0,0,0,0
1156,30,0,0,0,0
1196,31,0,0,0,0
1236,32,0,0,0,0
1276,33,0,0,0,0
1316,34,0,0,0,0
1356,35,0,0,0,0
1396,36,0,0,0,0
1436,37,0,0,0,0
1476,38,988,0,988,0
# Contact at angle: 39
1516,39,1715,0,1715,1
# Contact at angle: 40
1556,40,1812,239,1812,1
# Contact at angle: 41
1596,41,1904,2417,2417,1
# Contact at angle: 42
1636,42,1968,2635,2635,1
# Contact at angle: 43
1676,43,2058,2783,2783,1
# Contact at angle: 44
1716,44,2105,2829,2829,1
# Contact at angle: 45
1756,45,2223,2887,2887,1
# Contact at angle: 46
1796,46,2129,2901,2901,1
# Contact at angle: 47
1836,47,2150,2926,2926,1
# Contact at angle: 48
1876,48,2156,2993,2993,1
# Contact at angle: 49
1916,49,2427,3061,3061,1
# FIRM GRASP at angle: 49
