---
time_ms,angle,S1,S2,max,is_grasped
5,0,0,0,0,0
10,1,0,0,0,0
44,2,0,0,0,0
84,3,0,0,0,0
124,4,0,0,0,0
164,5,0,0,0,0
204,6,0,0,0,0
244,7,0,0,0,0
284,8,0,0,0,0
324,9,0,0,0,0
364,10,0,0,0,0
404,11,0,0,0,0
444,12,0,0,0,0
484,13,0,0,0,0
524,14,0,0,0,0
564,15,0,0,0,0
604,16,0,0,0,0
644,17,0,0,0,0
684,18,0,0,0,0
724,19,0,0,0,0
764,20,0,0,0,0
804,21,0,0,0,0
844,22,0,0,0,0
884,23,0,0,0,0
924,24,0,0,0,0
964,25,0,0,0,0
1004,26,0,0,0,0
1044,27,0,0,0,0
1084,28,0,0,0,0
1124,29,0,0,0,0
1164,30,0,0,0,0
1204,31,0,0,0,0
1244,32,0,0,0,0
1284,33,0,0,0,0
1324,34,0,0,0,0
1364,35,0,0,0,0
1404,36,0,0,0,0
1444,37,0,0,0,0
1484,38,0,0,0,0
1524,39,0,0,0,0
1564,40,0,0,0,0
# Contact at angle: 41
1604,41,1505,0,1505,1
# Contact at angle: 42
1644,42,1603,0,1603,1
# Contact at angle: 43
1684,43,1705,0,1705,1
# Contact at angle: 44
1724,44,1557,0,1557,1
# Contact at angle: 45
1764,45,1689,0,1689,1
# Contact at angle: 46
1804,46,1790,874,1790,1
# Contact at angle: 47
1844,47,1759,1740,1759,1
# Contact at angle: 48
1884,48,1795,2320,2320,1
# Contact at angle: 49
1924,49,1818,2494,2494,1
# Contact at angle: 50
1964,50,1775,2813,2813,1
# Contact at angle: 51
2004,51,1785,2829,2829,1
# Contact at angle: 52
2044,52,1839,3021,3021,1
# FIRM GRASP at angle: 52
