---
time_ms,angle,S1,S2,max,is_grasped
5,0,0,0,0,0
10,1,0,0,0,0
31,2,0,0,0,0
71,3,0,0,0,0
111,4,0,0,0,0
151,5,0,0,0,0
191,6,0,0,0,0
231,7,0,0,0,0
271,8,0,0,0,0
311,9,0,0,0,0
351,10,0,0,0,0
391,11,0,0,0,0
431,12,0,0,0,0
471,13,0,0,0,0
511,14,0,0,0,0
551,15,0,0,0,0
591,16,0,0,0,0
631,17,0,0,0,0
671,18,0,0,0,0
711,19,0,0,0,0
751,20,0,0,0,0
791,21,0,0,0,0
831,22,0,0,0,0
871,23,0,0,0,0
911,24,0,0,0,0
951,25,0,0,0,0
991,26,0,0,0,0
1031,27,0,0,0,0
1071,28,0,0,0,0
1111,29,0,0,0,0
1151,30,0,0,0,0
1191,31,0,0,0,0
1231,32,0,0,0,0
1271,33,0,0,0,0
1311,34,0,0,0,0
1351,35,0,0,0,0
1391,36,0,0,0,0
1431,37,0,0,0,0
1471,38,0,0,0,0
1511,39,0,0,0,0
1551,40,0,0,0,0
1591,41,0,0,0,0
1631,42,0,0,0,0
1671,43,0,342,342,0
1711,44,784,498,784,0
# Contact at angle: 45
1751,45,963,1407,1407,1
# Contact at angle: 46
1791,46,1178,1506,1506,1
# Contact at angle: 47
1831,47,1650,2417,2417,1
# Contact at angle: 48
1871,48,1913,2672,2672,1
# Contact at angle: 49
1911,49,2108,2751,2751,1
# Contact at angle: 50
1951,50,2109,2906,2906,1
# Contact at angle: 51
1991,51,2225,2928,2928,1
# Contact at angle: 52
2031,52,2291,2983,2983,1
# Contact at angle: 53
2071,53,2459,2993,2993,1
# Contact at angle: 54
2111,54,2535,3061,3061,1
# FIRM GRASP at angle: 54
